Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-01-02,0.85466,0.85527,0.85266,0.8531
2018-01-03,0.85342,0.85465,0.85013,0.85209
2018-01-04,0.85207,0.85227,0.84922,0.85002
2018-01-05,0.85013,0.85228,0.84897,0.85171
2018-01-08,0.85228,0.85587,0.85129,0.85492
2018-01-09,0.85497,0.85542,0.85161,0.85191
2018-01-10,0.85189,0.85579,0.8512,0.85536
2018-01-11,0.85535,0.85558,0.85056,0.85171
2018-01-12,0.85171,0.85171,0.84728,0.84744
2018-01-15,0.8472,0.84864,0.84515,0.8465
2018-01-16,0.8465,0.85037,0.84542,0.85003
2018-01-17,0.85002,0.85079,0.84732,0.85034
2018-01-18,0.85026,0.85254,0.84926,0.85203
2018-01-19,0.85204,0.85383,0.84937,0.84962
2018-01-22,0.84829,0.85095,0.84759,0.84789
2018-01-23,0.84794,0.84975,0.84766,0.84893
2018-01-24,0.84915,0.8557,0.84877,0.8524
2018-01-25,0.8524,0.86008,0.852,0.85698
2018-01-26,0.85727,0.86297,0.85579,0.86254
2018-01-29,0.86179,0.86648,0.85928,0.86108
2018-01-30,0.86111,0.86441,0.86097,0.86241
2018-01-31,0.86241,0.86558,0.8593,0.8647
2018-02-01,0.86468,0.86569,0.86151,0.86331
2018-02-02,0.86329,0.86364,0.86035,0.86182
2018-02-05,0.86266,0.86888,0.85905,0.86713
2018-02-06,0.86715,0.86856,0.85994,0.86278
2018-02-07,0.86301,0.86511,0.86062,0.86489
2018-02-08,0.86486,0.87341,0.86245,0.87254
2018-02-09,0.87251,0.87334,0.86742,0.86943
2018-02-12,0.8682,0.87053,0.86577,0.86578
2018-02-13,0.86618,0.86896,0.86485,0.86539
2018-02-14,0.86548,0.86963,0.86316,0.86397
2018-02-15,0.86451,0.86803,0.86402,0.86716
2018-02-16,0.86722,0.86915,0.86604,0.86902
2018-02-19,0.86875,0.86926,0.86659,0.86766
2018-02-20,0.86767,0.86815,0.86518,0.86567
2018-02-21,0.86578,0.86724,0.86501,0.86706
2018-02-22,0.86708,0.86981,0.86621,0.86946
2018-02-23,0.86934,0.87024,0.86777,0.86841
2018-02-26,0.8682,0.86986,0.86535,0.86566
2018-02-27,0.86553,0.87073,0.8649,0.87037
2018-02-28,0.87047,0.87066,0.86713,0.86825
2018-03-01,0.86829,0.86849,0.86498,0.86538
2018-03-02,0.86538,0.86984,0.86498,0.86547
2018-03-05,0.86489,0.86873,0.86202,0.86243
2018-03-06,0.86243,0.86255,0.85655,0.85901
2018-03-07,0.85903,0.85971,0.85371,0.85404
2018-03-08,0.85404,0.85594,0.85157,0.85403
